i,k,s,rxn,met
13,866,-1.0,ILEOX,h2o_c
265,866,-1.0,ILEOX,ile_L_c
846,866,1.0,ILEOX,3mop_c
43,867,-1.0,MMCDm,h_m
133,867,1.0,MMCDm,ppcoa_m
342,867,1.0,MMCDm,co2_m
849,867,-1.0,MMCDm,mmcoa_S_m
44,868,1.0,MMSAD1m,nadh_m
47,868,-1.0,MMSAD1m,nad_m
130,868,-1.0,MMSAD1m,coa_m
133,868,1.0,MMSAD1m,ppcoa_m
342,868,1.0,MMSAD1m,co2_m
835,868,-1.0,MMSAD1m,2mop_m
403,869,-1.0,OCOAT1m,acac_m
851,869,-1.0,OCOAT1m,succoa_m
852,869,1.0,OCOAT1m,aacoa_m
853,869,1.0,OCOAT1m,succ_m
44,870,1.0,OIVD1m,nadh_m
47,870,-1.0,OIVD1m,nad_m
130,870,-1.0,OIVD1m,coa_m
342,870,1.0,OIVD1m,co2_m
841,870,1.0,OIVD1m,ivcoa_m
848,870,-1.0,OIVD1m,4mop_m
44,871,1.0,OIVD2m,nadh_m
47,871,-1.0,OIVD2m,nad_m
130,871,-1.0,OIVD2m,coa_m
342,871,1.0,OIVD2m,co2_m
843,871,1.0,OIVD2m,ibcoa_m
854,871,-1.0,OIVD2m,3mob_m
44,872,1.0,OIVD3m,nadh_m
47,872,-1.0,OIVD3m,nad_m
130,872,-1.0,OIVD3m,coa_m
342,872,1.0,OIVD3m,co2_m
839,872,1.0,OIVD3m,2mbcoa_m
847,872,-1.0,OIVD3m,3mop_m
43,873,1.0,PPCOACm,h_m
131,873,-1.0,PPCOACm,atp_m
133,873,-1.0,PPCOACm,ppcoa_m
343,873,-1.0,PPCOACm,hco3_m
608,873,1.0,PPCOACm,adp_m
849,873,1.0,PPCOACm,mmcoa_S_m
855,873,1.0,PPCOACm,pi_m
43,874,2.0,r0643,h_m
44,874,1.0,r0643,nadh_m
46,874,-1.0,r0643,h2o_m
47,874,-1.0,r0643,nad_m
835,874,-1.0,r0643,2mop_m
856,874,1.0,r0643,HC00900_m
4,875,1.0,ASNN,nh4_c
13,875,-1.0,ASNN,h2o_c
162,875,-1.0,ASNN,asn_L_c
182,875,1.0,ASNN,asp_L_c
120,876,-1.0,ASPTA,akg_c
121,876,1.0,ASPTA,glu_L_c
182,876,-1.0,ASPTA,asp_L_c
859,876,1.0,ASPTA,oaa_c
4,877,1.0,r0085,nh4_c
13,877,-1.0,r0085,h2o_c
120,877,1.0,r0085,akg_c
860,877,-1.0,r0085,HC00591_c
8,878,1.0,ACGALK,h_c
50,878,-1.0,ACGALK,atp_c
52,878,1.0,ACGALK,adp_c
861,878,-1.0,ACGALK,acgal_c
862,878,1.0,ACGALK,acgal1p_c
13,879,-1.0,ACNAMPH,h2o_c
53,879,1.0,ACNAMPH,pi_c
